CAPLINE(OPTIONAL)	LINE_NAME	PARENT_1	PARENT_2	contrib_1	contrib_2	selfing_1	selfing_2	Text pedigree	
06MT-01	MT050002	BARONESSE	MT960225	0.5	0.5	FN	FN	Baronesse/MT960225	
06MT-02	MT050025	GS1750	BEARPAW	0.5	0.5	FN	FN	GS  1750/Bearpaw	
06MT-03	MT050026	GS1750	BEARPAW	0.5	0.5	FN	FN	GS  1750/Bearpaw	
06MT-04	MT050027	GS1750	BEARPAW	0.5	0.5	FN	FN	GS  1750/Bearpaw	
06MT-05	MT050028	GS1750	BEARPAW	0.5	0.5	FN	FN	GS  1750/Bearpaw	
06MT0-6	MT050029	GS1750	BEARPAW	0.5	0.5	FN	FN	GS  1750/Bearpaw	
06MT-07	MT050030	GS1750	BEARPAW	0.5	0.5	FN	FN	GS  1750/Bearpaw	
06MT-08	MT050031	GS1750	BEARPAW	0.5	0.5	FN	FN	GS  1750/Bearpaw	
06MT-09	MT050032	GS1750	BEARPAW	0.5	0.5	FN	FN	GS  1750/Bearpaw	
06MT-10	MT050033	GS1750	H3860224	0.5	0.5	FN	FN	GS  1750/H3860224	
06MT-11	MT050034	GS1750	H3860224	0.5	0.5	FN	FN	GS  1750/H3860224	
06MT-12	MT050035	GS1750	H3860224	0.5	0.5	FN	FN	GS  1750/H3860224	
06MT-13	MT050036	GS1750	H3860224	0.5	0.5	FN	FN	GS  1750/H3860224	
06MT-14	MT050037	GS1750	H3860224	0.5	0.5	FN	FN	GS  1750/H3860224	
06MT-15	MT050038	GS1750	H3860224	0.5	0.5	FN	FN	GS  1750/H3860224	
06MT-16	MT050039	GS1750	H3860224	0.5	0.5	FN	FN	GS  1750/H3860224
06MT-17	MT050040	GS1750	MT960101	0.5	0.5	FN	FN	GS  1750/MT960101
06MT-18	MT050042	GS1750	MT960101	0.5	0.5	FN	FN	GS  1750/MT960101
06MT-19	MT050043	GS1750	MT960225	0.5	0.5	FN	FN	GS  1750/MT960225
06MT-20	MT050044	GS1750	MT960225	0.5	0.5	FN	FN	GS  1750/MT960225
06MT-21	MT050045	GS1750	MT960225	0.5	0.5	FN	FN	GS  1750/MT960225
06MT-22	MT050047	GS1750	MT970116	0.5	0.5	FN	FN	GS  1750/MT970116
06MT-23	MT050048	GS1750	MT970116	0.5	0.5	FN	FN	GS  1750/MT970116
06MT-24	MT050049	GS1750	MT970116	0.5	0.5	FN	FN	GS  1750/MT970116
06MT-25	MT050050	GS1750	MT970116	0.5	0.5	FN	FN	GS  1750/MT970116
06MT-26	MT050051	GS1750	MT970116	0.5	0.5	FN	FN	GS  1750/MT970116
06MT-27	MT050053	GS1750	MT970116	0.5	0.5	FN	FN	GS  1750/MT970116
06MT-28	MT050054	HARRINGTON	MT960101	0.5	0.5	FN	FN	Harrington/MT960101
06MT-29	MT050059	HARRINGTON	MT960225	0.5	0.5	FN	FN	Harrington/MT960225
06MT-30	MT050062	HARRINGTON	MT960225	0.5	0.5	FN	FN	Harrington/MT960225
06MT-31	MT050068	HARRINGTON	MT970116	0.5	0.5	FN	FN	Harrington/MT970116
06MT-32	MT050080	HARRINGTON	ORMALT	0.5	0.5	FN	FN	Harrington/Ormalt
06MT-33	MT050081	HARRINGTON	ORMALT	0.5	0.5	FN	FN	Harrington/Ormalt
06MT-34	MT050082	HARRINGTON	ORMALT	0.5	0.5	FN	FN	Harrington/Ormalt
06MT-35	MT050087	KLAGES	MT970116	0.5	0.5	FN	FN	Klages/MT970116
06MT-36	MT050088	KLAGES	MT970116	0.5	0.5	FN	FN	Klages/MT970116
06MT-37	MT050091	KLAGES	MT970116	0.5	0.5	FN	FN	Klages/MT970116
06MT-38	MT050104	AC_METCALFE	HARRINGTON	0.5	0.5	FN	FN	AC Metcalfe/Harrington
06MT-39	MT050110	AC_METCALFE	HARRINGTON	0.5	0.5	FN	FN	AC Metcalfe/Harrington
