LOCATION................... BOZ															
EXPERIMENT NUMBER.......... 420 															
RAW FILE................... JULY2412.MV															
PERCENT REFLECTANCE FILE... JULY2412.RFL															
CORRECTED MILLIVOLT FILE... JULY2412.CMV															
INITIAL CONFIGURATION/CALIBRATION MSR16R #420 2/6/2012 CROPSCAN	 INC.														
--------------------------------------------------------------------------------------------------------------------------------															
      DATE	     TIME	  ANG	  IRR	     PLOT	   SS	550	660	670	680	700	770	780	880	900	970
--------------------------------------------------------------------------------------------------------------------------------															
*															
 7/24/2012	 10:24:19	35.8	735	101	2	7.3	10.14	10.08	9.82	12.81	27.51	27.96	32.82	31.48	31.36
 7/24/2012	 10:24:47	35.8	715	102	2	7.44	7.35	6.96	6.76	9.81	30.12	29.75	33.11	32.8	31.75
 7/24/2012	 10:25:15	35.7	725	103	2	7.36	8.26	8.13	8.15	10.76	30.69	30.69	34.83	33.51	32.95
 7/24/2012	 10:25:39	35.7	661	104	2	7.48	8.38	8.18	7.85	10.94	29.64	29.48	33.31	32.29	31.59
 7/24/2012	 10:26:07	35.6	707	105	2	8.15	9.59	9.39	9.41	12.13	29.77	30.28	33.67	32.42	31.95
 7/24/2012	 10:26:43	35.6	721	106	2	8.83	12.49	12.52	12.67	14.95	28.12	29.11	33.42	29.99	30.82
 7/24/2012	 10:27:08	35.4	683	107	2	7.17	6.96	6.81	6.91	9.22	33.85	34.52	38.75	35.29	35.48
 7/24/2012	 10:27:31	35.4	712	108	2	8.46	11.25	11.17	11.36	13.76	28.42	28.7	33.36	32.06	32.03
 7/24/2012	 10:27:49	35.4	732	109	2	7.61	9.06	8.98	9.12	11.12	28.81	29.44	34.43	32.01	31.87
 7/24/2012	 10:28:11	35.3	728	110	2	8.72	11.62	11.45	11.5	14.52	29.37	29.65	33.77	33.08	32.88
 7/24/2012	 10:28:32	35.3	721	111	2	8.65	11.56	11.64	11.68	14.2	27.16	27.26	31.5	30.77	30.77
 7/24/2012	 10:28:53	35.3	744	112	2	7.56	10.14	10.22	10.19	12.21	24.73	25.36	29.44	27.49	27.41
 7/24/2012	 10:29:17	35.1	745	113	2	7.19	8.57	8.32	8.13	10.71	26.04	25.89	29.52	29.2	28.1
 7/24/2012	 10:29:40	35.1	711	114	2	8.09	8.68	8.42	8.03	11.28	28.76	29.04	32.31	32.03	30.32
 7/24/2012	 10:30:08	35	732	115	2	7.07	6.86	6.7	6.72	9.31	31.41	32.64	37.07	32.49	32.62
 7/24/2012	 10:30:33	35	783	116	2	7.05	7.25	7.16	7.31	9.53	27.85	27.83	31.74	30.52	29.33
 7/24/2012	 10:31:05	34.9	710	117	2	6.22	6.29	5.98	5.84	8.53	26.73	26.95	29.95	28.6	28.24
 7/24/2012	 10:31:31	34.9	743	118	2	8.65	9.35	9.05	8.91	11.64	29.35	29.62	33.73	32.05	31.08
 7/24/2012	 10:31:57	34.9	786	119	2	6.08	6.42	6.27	6.4	8.13	25.46	26.13	30.15	27.49	26.41
 7/24/2012	 10:32:18	34.7	766	120	2	6.53	8.57	8.67	8.82	10.69	24.31	24.64	28.75	27.14	27.34
