Trial	NUE_2012_MEAD	Date	5/7/2012
Plot	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	
Start time
Stop time	11:12:38	11:13:2	11:13:34	11:14:26	11:16:28	11:16:58	11:17:36	11:18:46	11:19:20	11:19:56	11:20:48	11:21:16	11:23:36	11:24:2	11:25:28	11:25:54	11:26:20	11:26:48	11:27:12	11:27:36	11:28:0	11:28:28	11:28:52	11:29:14	11:29:38	11:30:4	11:30:28	11:30:50	11:32:20	11:35:14	11:37:0	11:37:26	11:37:50	11:38:14	11:38:38	11:39:16	11:39:42	11:40:6	11:40:28	11:40:52	11:41:14	11:41:38	11:42:8	11:42:32	11:42:58	11:43:22	11:43:46	11:44:10	11:44:34	11:45:2	11:45:24	11:45:50	11:46:12	11:46:36	11:46:58	11:48:6	11:51:32	11:51:56	11:52:20	11:52:46	11:53:12	11:53:36	11:54:0	11:54:28	11:54:52	11:55:16	11:55:42	11:56:6	11:56:30	11:56:56	11:57:22	11:57:46	11:58:12	11:58:36	11:58:58	11:59:24	11:59:46	12:0:16	12:0:38	12:1:4	12:1:28	12:2:8	12:2:32	12:2:56	12:5:52	12:6:28	12:6:50	12:7:40	12:8:16	12:8:46	12:9:16	12:9:44	12:10:8	12:10:38	12:11:2	12:11:28	12:11:52	12:12:14	12:12:42	12:13:12	12:13:38	
Integration Time (ms)	3	 3	 3	 3	 3	 3	 3	 3	 3	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	 5	
491.793823	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	
492.167053	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	
492.540222	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	
492.913391	-426.5558166504	-331.3965759277	-341.0361633301	-339.3738403320	-387.7709350586	-378.8096313477	-361.6735534668	-390.6596984863	-430.5494384766	-419.9406738281	-454.5476074219	-446.4677429199	-497.3491821289	-456.6308593750	-484.7747192383	-498.4361267090	-427.8688964844	-436.8792114258	-384.3932495117	-443.9230957031	-430.3919677734	-429.4087524414	-421.0814819336	-419.1855773926	-420.7253112793	-391.5213928223	-362.0919799805	-378.0923461914	-412.9282836914	-574.2365112305	-705.9459228516	-655.3129272461	-629.9178466797	-618.5966186523	-584.9273071289	-574.5664062500	-596.8929443359	-575.0706787109	-526.0036621094	-489.9282531738	-502.5489196777	-428.8506164551	-414.6649475098	-394.4200134277	-346.2188415527	-322.7992553711	-364.7261657715	-385.1464843750	-368.2284545898	-401.2284851074	-386.8092346191	-397.9865722656	-411.3247070313	-395.4113159180	-367.9609680176	-408.2158508301	42.1430358887	19.3901748657	73.8252868652	-63.6284599304	-70.7820739746	-76.1439895630	-95.8877716064	-93.0425262451	-110.2478027344	-136.5845184326	-129.8509521484	-121.9346008301	-80.5811538696	-227.4594268799	-134.1748046875	-98.5873870850	-180.5652313232	-252.3953857422	-197.1988983154	-160.8715057373	-69.2165527344	-6.6803193092	27.7598018646	127.5795822144	27.6464824677	68.5967178345	43.9074325562	67.9673233032	-23.6716957092	-82.2700119019	-156.9563446045	-144.0703582764	-128.2913513184	-99.8461761475	-142.5221252441	-86.4864501953	-167.5076904297	-52.8177146912	-175.9296417236	-138.2410583496	-132.1528167725	-59.2022171021	-191.8369903564	-152.1268920898	-67.0762557983	
493.286469	-408.3524169922	-336.1358032227	-316.4729003906	-328.0019531250	-375.5271911621	-356.8055114746	-369.8124389648	-390.9541931152	-417.3016052246	-404.4981384277	-432.4218750000	-424.2209472656	-512.6846923828	-464.1930541992	-472.1317138672	-469.2846374512	-438.4255371094	-438.4243164063	-389.4305725098	-430.2341308594	-412.2268676758	-413.0671997070	-397.5803222656	-419.3778991699	-398.1813964844	-377.9091186523	-370.8489074707	-360.7980041504	-395.6959228516	-549.8528442383	-700.4316406250	-654.5615234375	-618.2781982422	-620.4179687500	-581.8264160156	-564.1004028320	-576.0155639648	-575.6892089844	-512.1968994141	-488.1039123535	-478.0589599609	-436.3416748047	-412.5456237793	-382.7657165527	-345.6665649414	-333.5051879883	-348.4772644043	-368.9892578125	-357.4241027832	-383.2188720703	-395.7144470215	-389.2067565918	-382.4360351563	-395.4786071777	-370.6082458496	-380.6920471191	81.7620391846	-98.8718032837	-50.3185729980	-130.5472259521	-226.6911773682	-244.0720520020	-308.7439270020	-311.4266052246	-333.8941650391	-354.9609069824	-343.5516357422	-313.7402343750	-411.9236450195	-498.8190612793	-354.6935424805	-370.5839843750	-447.2924804688	-517.5526123047	-412.9471740723	-421.9426574707	-227.3358612061	-128.1070709229	-105.8699493408	67.5247421265	-62.2708549500	-20.2684173584	-73.3208847046	-76.5699157715	-191.7900543213	-206.9672546387	-354.7146301270	-389.7814636230	-356.5575561523	-273.9234008789	-337.3329772949	-367.5827331543	-449.3364868164	-267.3612976074	-346.4226074219	-302.4763183594	-392.3827514648	-262.3793029785	-403.3454284668	-253.7611694336	-307.2700195313	
493.659515	-335.2243347168	-274.9341430664	-238.9562835693	-256.6741027832	-308.6921691895	-289.2553710938	-293.1044006348	-315.8504943848	-334.0953369141	-325.1976623535	-343.8967590332	-345.5746154785	-416.4902648926	-378.0153198242	-384.7187500000	-377.7809143066	-353.1340026855	-354.8735961914	-327.2452697754	-338.2251892090	-326.5193481445	-334.4143981934	-326.9075012207	-332.2170410156	-323.5279541016	-304.7956542969	-291.5108947754	-285.1775512695	-312.3154296875	-443.7990722656	-572.6857299805	-528.5713500977	-500.3994445801	-501.6726989746	-471.0074462891	-465.1307067871	-463.6972045898	-458.7155761719	-412.5747680664	-391.1572265625	-383.7626342773	-353.6075744629	-336.7948913574	-305.1320495605	-279.2040100098	-276.4386291504	-281.4855041504	-295.7084045410	-285.2142944336	-306.8288574219	-310.9329833984	-307.7900390625	-305.5911865234	-314.2296447754	-298.5052490234	-307.2169189453	116.2055816650	-128.4344635010	-148.1195526123	-288.9322509766	-464.5843505859	-554.5466918945	-547.6300659180	-572.5252685547	-639.9107666016	-755.2866821289	-648.9212646484	-651.1885375977	-748.7786865234	-849.3847656250	-669.8416748047	-753.7170410156	-801.7990112305	-1044.1621093750	-846.0131835938	-770.9584960938	-536.5141601563	-297.4783020020	-118.9961318970	23.0942687988	-62.5589027405	-69.9573135376	-185.4440612793	-124.4693069458	-295.7939453125	-380.5075988770	-745.7626342773	-722.6278686523	-638.1743774414	-714.5751953125	-689.7474365234	-721.3357543945	-700.5116577148	-519.9270019531	-562.3681030273	-534.3787841797	-718.1925048828	-576.5125732422	-651.3389282227	-546.4024658203	-590.8054809570	
494.032562	-243.6951446533	-200.7973937988	-169.6714324951	-178.7690887451	-228.1387634277	-213.5965118408	-214.1380004883	-234.3641052246	-247.4523773193	-240.2718048096	-251.9202880859	-255.0204315186	-323.1715393066	-290.3995666504	-292.2596130371	-283.3744812012	-266.9937744141	-264.3757934570	-257.7124938965	-247.2488861084	-243.1460876465	-244.3075866699	-244.5563354492	-247.0581054688	-232.1466979980	-231.1578521729	-215.3002014160	-205.4086608887	-224.8702697754	-331.2333679199	-432.2736206055	-404.3511962891	-381.1332092285	-376.3247375488	-362.2582397461	-352.4451599121	-350.0649108887	-344.0564575195	-311.9828796387	-291.7700500488	-275.7515258789	-264.6340332031	-249.6266326904	-221.2185668945	-203.6268920898	-211.5159912109	-197.8321380615	-218.0118103027	-209.8678588867	-219.0236816406	-229.7239837646	-222.5245513916	-220.1168518066	-229.8038482666	-216.8778228760	-220.3767700195	-93.0482025146	168.3845214844	299.0783691406	303.4351806641	509.2140197754	668.0643920898	532.0225219727	578.7747192383	633.5496215820	693.1019287109	627.5755615234	704.9456787109	812.9368896484	702.9285278320	728.5857543945	831.4297485352	765.4291381836	877.8182983398	857.8994750977	796.1814575195	615.5294799805	418.0928649902	263.2657165527	143.9508666992	137.5500030518	132.9821166992	304.2177124023	224.7790832520	377.3163452148	345.5759887695	758.2662353516	696.7979736328	745.5261840820	727.5281982422	724.0882568359	731.4550170898	656.3328857422	599.9929199219	524.2827148438	548.0144653320	728.5067138672	609.6787719727	561.9196166992	539.1490478516	683.2200317383	
