Plot	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78
Stop time	10:28:42	10:29:00	10:29:14	10:29:32	10:29:50	10:30:12	10:30:28	10:30:46	10:31:02	10:31:22	10:31:40	10:31:56	10:32:14	10:32:30	10:32:48	10:33:04	10:33:28	10:33:48	10:34:04	10:34:28	10:34:50	10:35:06	10:35:22	10:35:40	10:36:04	10:36:22	10:36:38	10:36:58	10:37:24	10:37:42	10:38:02	10:38:20	10:38:38	10:39:06	10:39:30	10:39:48	10:40:02	10:40:18	10:40:34	10:41:02	10:44:04	10:44:30	10:44:48	10:45:04	10:45:20	10:45:46	10:46:06	10:46:24	10:46:54	10:47:10	10:47:26	10:47:46	10:48:02	10:48:22	10:48:40	10:48:58	10:49:28	10:49:46	10:50:18	10:50:34	10:50:58	10:51:16	10:51:32	10:51:48	10:52:14	10:52:32	10:52:48	10:53:10	10:53:40	10:54:08	10:54:28	10:54:48	10:55:06	10:55:24	10:55:40	10:55:58	10:56:16	10:56:32	10:56:50
491.789948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
492.161926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
492.533905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
492.905823	-22.51703262	-17.23052597	-21.42881393	-19.64131927	-19.55776978	-21.41523743	-19.20137024	-21.93739319	-23.62986946	-27.6006031	-29.02343369	-27.48581886	-31.55092812	-26.86034203	-35.76789093	-30.1664753	-29.24464607	-30.22155952	-31.19801712	-31.57657814	-26.24316216	-31.55711746	-32.52209473	-33.07698441	-31.16742516	-33.37826157	-36.81497955	-32.26006317	-32.63832855	-31.9074955	-31.48524284	-34.90166473	-32.97509003	-37.04766083	-44.16981506	-33.36637115	-39.22506714	-32.19370651	-36.44062042	-39.91761398	1.266117573	-2.812191486	-1.436608076	-2.072422743	3.438215733	0.58054781	3.51093626	9.654346466	8.022033691	9.189565659	12.18939018	14.34657478	13.5946331	11.43947792	13.83649254	17.87829971	15.8332901	11.09861565	11.3646431	12.86961555	5.343238354	7.902724743	8.575714111	6.878774166	7.752362728	8.951627731	4.891658306	13.91444016	3.807654858	7.181913853	10.07604027	11.21804237	2.349694252	10.69974709	9.345533371	11.28423882	12.51353645	9.793603897	10.57492638
493.277679	-40.3925705	-35.2286377	-25.66647339	-33.955513	-36.9770813	-38.02783203	-38.16136169	-45.28869629	-48.59286499	-53.66794205	-58.9362793	-55.33599854	-58.70142746	-52.79299927	-59.22047806	-54.55990601	-54.77561569	-56.00239182	-56.01712036	-58.67194748	-59.271595	-59.84455872	-60.68405151	-65.67060852	-61.68985367	-63.85005569	-66.15957642	-57.65657043	-65.80281067	-53.47942734	-60.79105759	-70.24892426	-65.10328674	-68.36134338	-87.25041962	-63.13969803	-70.81752014	-64.42906189	-68.52062988	-69.41601563	2.305963516	-6.295279503	-0.027963638	2.054449081	3.821289063	7.844548225	13.62377644	23.44506454	19.9383316	24.53509903	29.20120621	28.78980255	32.69789505	30.32658386	33.82778168	32.62216187	33.62102509	24.5561676	26.58257675	23.77577972	19.99410629	16.87197876	20.56074524	17.36928177	17.25788879	18.68679428	12.10251141	23.03769684	8.197146416	17.45026779	15.84510517	20.79573822	9.362242699	19.88033676	21.17132187	22.14011002	23.95232391	27.56049728	23.50871277
493.649475	-61.51273346	-57.84342957	-40.05052185	-53.57313538	-61.99936676	-58.24852753	-56.12871552	-66.51551819	-70.26042938	-75.3497467	-90.15254211	-84.49034119	-89.01283264	-83.94578552	-85.5526886	-80.2587738	-83.58927917	-84.70256042	-86.58144379	-84.93245697	-90.61463165	-88.10377502	-91.36081696	-92.78479004	-87.62218475	-96.02845001	-95.51586151	-81.85587311	-99.09864807	-87.21540833	-94.58940125	-101.7700577	-97.80718994	-102.1080475	-125.0468292	-95.26587677	-101.7345657	-98.53190613	-102.0240479	-101.7516861	-0.298664093	-13.21993542	7.027141571	3.182491303	6.337234497	15.38064003	20.89795494	36.33449554	31.60005379	38.89813232	45.06843567	44.87527466	55.90372467	49.44125366	51.82579803	50.17892456	53.69552612	38.00092316	48.28686523	39.87883759	39.03247833	33.13878632	34.31023407	30.39202309	29.65957832	29.54120445	25.15829659	35.78401947	16.45443916	33.56182861	27.17726707	26.44438744	21.25079536	31.91676521	30.84459114	33.91279602	40.99141693	45.87828827	44.02007294
494.021301	-60.17205811	-58.32077789	-36.24909973	-48.15898132	-64.69498444	-57.79611206	-61.56873322	-70.78450775	-76.70867157	-69.8501358	-99.10321045	-87.10284424	-92.83532715	-83.85433197	-79.15991211	-85.33327484	-88.01811981	-86.02254486	-85.72130585	-77.61438751	-96.65876007	-87.64712524	-88.078125	-91.80266571	-88.86108398	-97.26656342	-87.66927338	-91.45263672	-103.1631165	-92.53183746	-97.60455322	-104.3803406	-96.01761627	-101.8509293	-123.5347443	-103.4894638	-102.9300919	-99.36681366	-102.3324814	-97.98046875	-7.838243485	-13.7682991	7.44808197	6.067760468	7.846557617	19.27457809	26.68848038	36.7911377	32.29966736	34.71044159	48.3503418	45.53180695	56.1163559	51.67378235	50.14058685	53.74043274	48.98122406	39.18388367	49.26772308	39.16317749	46.43690491	39.2898941	33.67683411	35.37284088	32.54000092	32.13822937	29.33247375	33.61429596	23.1330719	30.66710663	27.31062317	26.85995102	26.43606186	32.7363205	30.61490631	35.94356537	43.14266205	52.47237396	45.68775177
494.393036	-55.84817505	-53.67422485	-51.57646179	-54.04415894	-60.04855347	-56.49859619	-61.19810486	-71.13859558	-75.12496185	-71.57549286	-96.5484848	-83.5401535	-96.25557709	-83.03696442	-83.227005	-91.33779144	-88.29053497	-90.73505402	-88.8597641	-80.63114166	-93.65831757	-90.38078308	-86.49286652	-90.05379486	-92.96694183	-104.1986618	-97.95308685	-99.23334503	-101.9390106	-104.5516281	-100.8223953	-101.378746	-93.62310028	-106.8448334	-113.059433	-107.1111221	-104.3306351	-99.11186981	-99.65546417	-104.9935074	-18.93924522	-18.48427963	-2.723712921	-7.013561249	2.886363983	14.14962769	22.77361298	24.87953949	26.88993073	26.43260193	38.53769684	42.50278473	44.84981537	38.46918488	41.01333618	48.65231323	36.34191895	34.01568604	43.97768402	32.05796051	36.58457184	37.27329254	27.41928101	25.56201172	25.59692383	25.3968811	27.51876831	26.63088989	18.00940704	21.54286957	26.87071991	22.78386688	25.47045136	26.39894867	23.26702118	29.52484894	39.06555176	39.22751617	43.18445587
494.764709	-54.21690369	-50.79191589	-55.23059082	-50.39575195	-54.54309082	-57.69187927	-64.08592224	-74.06695557	-76.8427124	-74.46343231	-93.54358673	-80.25315094	-95.30951691	-84.02817535	-81.39337921	-96.6477356	-96.95194244	-97.21633148	-86.54111481	-86.14306641	-91.66278076	-94.07637787	-87.68602753	-89.83441162	-99.20539093	-105.8357773	-101.6085434	-108.9430618	-104.9082642	-108.732338	-99.6336441	-108.6276855	-95.17950439	-99.88412476	-115.3426743	-111.4935989	-110.0047379	-95.74332428	-100.4852676	-108.0841064	-25.14433861	-13.49761963	-16.28033066	-6.755283356	8.878623962	13.84130859	21.77875519	24.1664505	21.77586365	19.98603058	32.05086517	36.29863739	36.10288239	38.844841	38.20037079	42.8519516	26.38326263	35.24024963	35.10927582	27.54950714	29.00778198	26.86963654	19.55939484	22.30528259	21.65385437	25.81461334	23.85834503	19.86125946	24.3625412	11.34111786	25.59272766	25.74668121	18.53916168	25.48413849	26.51118469	32.56655121	35.00118256	30.60099792	31.89347839
