Line Name	Line Synonym	Grain Yield (kg ha -1)	Heading Date (days from planting)	Check
MERIT	06BA-33	4434.52	184.83	0
CONRAD	06BA-34	4971.73	183.33	0
2B97-4299-8	06BA-35	4899.90	182.67	0
2B99-2316	06BA-36	4524.22	183.00	0
2B99-2316-4	06BA-37	5055.81	182.67	0
2B99-2657	06BA-38	4261.65	182.00	0
2B99-2763-10	06BA-39	4752.15	181.67	0
2B99-2766-10	06BA-40	4769.34	181.67	0
2B99-2771-1	06BA-41	4523.12	182.33	0
2B99-2771-9	06BA-42	4465.35	181.67	0
2B00-0089E	06BA-43	4656.98	182.00	0
2B00-0089M	06BA-44	5089.07	182.00	0
2B00-0342	06BA-45	4868.73	183.67	0
2B01-2010	06BA-46	4576.37	182.67	0
2B01-2015	06BA-47	4729.78	184.83	0
2B02-2925	06BA-48	4999.19	182.33	0
2B02-2941	06BA-49	4675.82	182.67	0
2B03-3560	06BA-50	4659.04	183.83	0
2B03-3604	06BA-51	4584.80	183.00	0
2B03-3625	06BA-52	4332.52	184.50	0
2B03-3631	06BA-53	4973.13	183.67	0
2B03-3669	06BA-54	4417.94	183.33	0
2B03-3681	06BA-55	4751.06	183.67	0
2B03-3719	06BA-56	4755.65	182.67	0
2B03-3732	06BA-57	4664.93	184.67	0
2B03-3734	06BA-58	4332.62	185.17	0
2B03-3785	06BA-59	4475.44	182.67	0
2B03-3830	06BA-60	4264.27	184.00	0
2B03-3859	06BA-61	4351.93	184.83	0
2B03-3882	06BA-62	4650.94	183.33	0
2B03-3883	06BA-63	4930.52	183.33	0
2B03-3903	06BA-64	4384.92	184.00	0
2B03-3954	06BA-65	4848.56	183.33	0
CONRAD	06BA-34	4971.73	183.33	1
HARRINGTON	SK76333	4844.47	182.33	1
MERIT	06BA-33	4434.52	184.83	1
Mean		4,661.07	183.2
Standard Error		205.62	--
Number Replicates		3	3
Prob > F		0.08	--
