Line Name	Line Synonym	Grain Yield (kg ha -1)	Plant Height (centimeter)	Heading Date (days from planting)	Lodging (percent)	Plump Grain (% by wt on 6/64” sieve )	Grain Protein (kg ha -1)	Malt Extract (percent)	Wort Protein (percent)	Soluble Protein/ Total Protein (percent)	Diastatic Power (&deg;asbc)	Alpha Amylase (20&deg;du)	Malt Beta-glucan (parts per million)	Check
MERIT	06BA-33	7710.55	80.33	179.00	23.33	89.38	11.60	81.53	5.55	50.08	190.48	99.55	76.47	0
CONRAD	06BA-34	7527.86	74.00	178.00	26.67	93.28	11.90	80.90	5.17	45.48	163.73	86.28	99.14	0
2B97-4299-8	06BA-35	7442.84	73.00	178.00	20.00	91.38	11.60	81.41	5.54	51.74	172.73	97.65	60.85	0
2B99-2316	06BA-36	7527.25	75.33	178.00	20.00	92.78	11.60	82.55	5.84	55.49	185.48	96.03	46.46	0
2B99-2316-4	06BA-37	7549.56	81.00	177.00	43.33	87.92	12.00	82.30	5.66	51.52	201.63	101.28	59.04	0
2B99-2657	06BA-38	7920.08	78.33	179.00	33.33	86.19	11.80	81.75	5.87	53.10	180.74	114.87	39.71	0
2B99-2763-10	06BA-39	7303.57	69.33	178.00	13.33	95.32	11.80	81.00	5.45	45.81	194.96	94.46	40.96	0
2B99-2766-10	06BA-40	7006.98	71.00	177.00	13.33	93.03	11.90	82.33	5.80	52.77	195.21	105.87	41.32	0
2B99-2771-1	06BA-41	7187.25	65.67	177.00	10.00	95.77	11.60	82.83	5.15	47.43	153.89	96.62	83.74	0
2B99-2771-9	06BA-42	6319.55	66.00	179.00	10.00	96.19	11.30	82.63	5.31	50.02	146.99	92.54	69.62	0
2B00-0089E	06BA-43	7365.15	69.33	179.00	16.67	95.54	11.60	81.95	5.89	54.52	141.02	93.03	30.22	0
2B00-0089M	06BA-44	8419.04	74.33	178.00	20.00	91.48	10.90	81.91	5.75	53.38	167.22	105.94	27.44	0
2B00-0342	06BA-45	6975.31	69.67	179.00	10.00	94.50	11.20	81.07	5.70	50.92	168.86	96.85	62.15	0
2B01-2010	06BA-46	7675.27	75.33	177.00	33.33	96.10	11.70	82.78	6.10	55.06	171.60	102.29	53.56	0
2B01-2015	06BA-47	7711.69	72.00	178.00	36.67	92.00	11.50	81.50	5.71	53.66	183.15	96.73	49.81	0
2B02-2925	06BA-48	6940.68	79.00	177.00	33.33	92.38	10.90	82.38	5.90	54.57	152.28	94.03	81.29	0
2B02-2941	06BA-49	7515.29	70.33	179.00	20.00	97.20	11.30	83.04	5.52	48.94	180.84	88.67	69.76	0
2B03-3560	06BA-50	6532.39	75.00	180.00	10.00	97.50	10.70	82.48	5.40	52.72	159.27	92.31	38.30	0
2B03-3604	06BA-51	7700.27	76.33	178.00	16.67	97.89	11.30	83.00	5.70	52.22	163.27	88.25	89.99	0
2B03-3625	06BA-52	7491.67	76.00	178.00	16.67	95.91	11.60	82.58	5.82	56.07	184.39	98.42	48.57	0
2B03-3631	06BA-53	6559.88	70.67	180.00	10.00	96.52	11.20	82.43	5.78	57.98	193.10	106.18	62.80	0
2B03-3669	06BA-54	7023.05	80.33	179.00	23.33	91.49	12.20	80.30	5.61	47.97	164.46	97.80	119.01	0
2B03-3681	06BA-55	7662.68	75.33	178.00	16.67	91.35	11.60	82.40	5.74	53.17	176.06	93.84	52.58	0
2B03-3719	06BA-56	7612.61	74.00	175.00	16.67	98.30	11.70	82.02	5.80	50.72	175.23	83.27	104.60	0
2B03-3732	06BA-57	7282.94	80.33	179.00	20.00	95.06	11.30	82.90	5.34	52.16	147.31	90.43	156.54	0
2B03-3734	06BA-58	7297.57	77.00	177.00	13.33	98.24	11.50	82.06	5.22	47.22	172.02	86.48	136.00	0
2B03-3785	06BA-59	7487.67	72.33	175.00	26.67	97.22	11.30	82.87	5.74	53.64	141.06	85.27	57.47	0
2B03-3830	06BA-60	7160.25	72.33	177.00	10.00	99.06	11.50	83.36	5.93	55.01	155.50	85.06	81.08	0
2B03-3859	06BA-61	6547.44	63.00	180.00	10.00	96.28	11.20	82.07	5.82	52.43	137.39	84.44	57.25	0
2B03-3882	06BA-62	6411.39	72.33	179.00	13.33	95.98	11.50	82.64	6.30	55.88	154.66	95.98	79.68	0
2B03-3883	06BA-63	7156.61	79.00	179.00	23.33	95.98	10.70	83.02	5.35	49.83	149.57	86.97	92.19	0
2B03-3903	06BA-64	7367.19	78.00	178.00	20.00	94.72	11.10	81.98	5.09	47.61	184.82	91.11	63.23	0
2B03-3954	06BA-65	7909.17	75.33	179.00	33.33	92.23	12.10	81.46	5.49	46.97	170.07	98.22	104.43	0
CONRAD	06BA-34	7527.86	74.00	178.00	26.67	93.28	11.90	80.90	5.17	45.48	163.73	86.28	99.14	1
HARRINGTON	SK76333	6503.36	81.33	177.00	46.67	88.60	11.30	81.90	5.75	55.42	156.38	83.57	104.68	1
MERIT	06BA-33	7710.55	80.33	179.00	23.33	89.38	11.60	81.53	5.55	50.08	190.48	99.55	76.47	1
Mean		7,288.36	74.2	178.1	20.9	94.2	11.47	82.2	5.6	51.8	168.7	94.42	71.76
Standard Error		320.65	--	--	--	--	--	--	--	--	--	--	--
Number Replicates		3	3	1	3	1	1	1	1	1	1	1	1
Prob > F		--	--	--	--	--	--	--	--	--	--	--	--
