Line Name	Line Synonym	Net Blotch (1-10) (tekauz scale (1-10))	Check
6B04-0007	07BA-01	5.00	0
6B04-0016	07BA-02	7.33	0
6B04-0031	07BA-03	6.67	0
6B04-0045	07BA-04	7.33	0
6B04-0075	07BA-05	7.00	0
6B04-0109	07BA-06	8.00	0
6B04-0151	07BA-07	4.33	0
6B04-0178	07BA-08	3.67	0
6B04-0183	07BA-09	7.00	0
6B04-0188	07BA-10	4.00	0
6B04-0290	07BA-11	4.67	0
6B04-0408	07BA-12	3.67	0
6B04-0415	07BA-13	3.33	0
6B04-0421	07BA-14	4.00	0
6B04-0429	07BA-15	3.00	0
6B04-0441	07BA-16	3.67	0
6B04-0443	07BA-17	3.00	0
6B04-0523	07BA-18	4.33	0
6B05-0572	07BA-19	4.00	0
6B05-0578	07BA-20	7.33	0
6B05-0590	07BA-21	7.33	0
6B05-0625	07BA-22	3.00	0
6B05-0671	07BA-23	7.33	0
6B05-0680	07BA-24	6.67	0
6B05-0712	07BA-25	7.33	0
6B05-0716	07BA-26	4.00	0
6B05-0717	07BA-27	5.67	0
6B05-0734	07BA-28	7.33	0
6B05-0746	07BA-29	7.67	0
6B05-0752	07BA-30	3.50	0
6B05-0788	07BA-31	6.67	0
6B05-0818	07BA-32	7.33	0
6B05-0820	07BA-33	6.00	0
6B05-0825	07BA-34	4.33	0
6B05-0837	07BA-35	7.67	0
6B05-0842	07BA-36	7.67	0
6B05-0881	07BA-37	3.33	0
6B05-0916	07BA-38	7.33	0
6B05-0922	07BA-39	3.33	0
6B05-0924	07BA-40	7.33	0
6B05-0933	07BA-41	4.00	0
6B05-0974	07BA-42	5.33	0
6B05-0992	07BA-43	3.00	0
6B05-0998	07BA-44	2.00	0
6B05-1003	07BA-45	7.00	0
6B05-1005	07BA-46	3.33	0
6B05-1009	07BA-47	6.67	0
6B05-1053	07BA-48	7.00	0
6B05-1056	07BA-49	6.33	0
2B04-0026	07BA-50	5.67	0
2B04-0028	07BA-51	5.67	0
2B04-0080	07BA-52	6.33	0
2B04-0109	07BA-53	5.33	0
2B04-0112	07BA-54	5.33	0
2B04-0133	07BA-55	4.67	0
2B04-0173	07BA-56	4.67	0
2B04-0175	07BA-57	5.00	0
2B04-0223	07BA-58	8.00	0
2B04-0228	07BA-59	7.67	0
2B04-0279	07BA-60	5.33	0
2B04-0294	07BA-61	3.00	0
2B04-0302	07BA-62	6.33	0
2B04-0307	07BA-63	5.33	0
2B04-0313	07BA-64	6.67	0
2B05-0615	07BA-65	2.67	0
2B05-0733	07BA-66	2.67	0
2B05-0676	07BA-67	1.67	0
2B05-0802	07BA-68	1.33	0
2B05-0837	07BA-69	6.33	0
2B05-0799	07BA-70	2.00	0
2B05-0728	07BA-71	2.67	0
2B05-0811	07BA-72	2.67	0
2B05-0813	07BA-73	2.00	0
2B05-0829	07BA-74	1.67	0
2B05-0814	07BA-75	2.00	0
2B05-0614	07BA-76	1.67	0
2B05-0727	07BA-77	6.00	0
2B05-0690	07BA-78	4.33	0
2B05-0840	07BA-79	4.67	0
2B05-0790	07BA-80	5.00	0
2B05-0825	07BA-81	2.00	0
2B05-0798	07BA-82	3.00	0
2B05-0672	07BA-83	4.33	0
2B05-0681	07BA-84	6.33	0
2B05-0684	07BA-85	3.33	0
2B05-0831	07BA-86	3.33	0
2B05-0479	07BA-87	6.67	0
2B05-0596	07BA-88	2.00	0
2B05-0716	07BA-89	3.67	0
2B05-0785	07BA-90	1.33	0
2B05-0830	07BA-91	1.33	0
2B05-0442	07BA-92	7.33	0
2B05-0536	07BA-93	1.67	0
2B05-0655	07BA-94	5.33	0
2B05-0729	07BA-95	2.67	0
2B05-0719	07BA-96	3.00	0
STANDER	m64	8.67	1
BT462		3.00	1
Mean		5
Standard Error		1
Number Replicates		3
Prob > F		<.0001
