Line Name	Line Synonym	Fall Planting Heading Date (days from planting)	Spring Planting Heading Date (days from planting)	Vernalization Score (days)	Check
DOYCE	06VT-01	117	195	78	0
VA01H-68	06VT-02	112	187	75	0
VA01H-125	06VT-03	113	195	82	0
VA01H-1	06VT-04	114	250	136	0
VA03H-58	06VT-05	120	195	75	0
VA03H-61	06VT-06	120	195	75	0
VA03H-64	06VT-07	118	195	77	0
VA03H-100	06VT-08	118	193	75	0
VA04H-24	06VT-09	119	191	72	0
VA04H-25	06VT-10	115	190	75	0
VA04H-32	06VT-11	113	196	83	0
VA04H-35	06VT-12	115	250	135	0
VA04H-53	06VT-13	122	250	128	0
VA04H-56	06VT-14	115	250	135	0
VA04H-59	06VT-15	117	250	133	0
VA04H-86	06VT-16	112	250	138	0
VA04H-95	06VT-17	117	250	133	0
VA04H-98	06VT-18	118	250	132	0
VA04H-111	06VT-19	117	195	78	0
VA04H-112	06VT-20	115	250	135	0
VA04H-113	06VT-21	117	191	74	0
VA04H-114	06VT-22	117	184	67	0
VA04H-122	06VT-23	115	181	66	0
VA04H-26	06VT-24	118	181	63	0
VA05H-03	06VT-25	119	190	71	0
VA05H-09	06VT-26	115	250	135	0
VA05H-15	06VT-27	122	250	128	0
VA05H-37	06VT-28	120	192	72	0
VA05H-45	06VT-29	117	191	74	0
VA05H-59	06VT-30	120	191	71	0
VA05H-73	06VT-31	120	250	130	0
VA05H-77	06VT-32	122	195	73	0
VA05H-107	06VT-33	113	199	86	0
VA05H-108	06VT-34	119	192	73	0
VA05H-120	06VT-35	119	250	131	0
VA05H-134	06VT-36	126	250	124	0
VA05H-139	06VT-37	124	195	71	0
VA05H-147	06VT-38	128	250	122	0
VA05H-179	06VT-39	124	199	75	0
VA05H-182	06VT-40	120	250	130	0
WYSOR	06VT-41	119	195	76	0
NOMINI	06VT-42	113	190	77	0
CALLAO	06VT-43	118	179	61	0
PRICE	06VT-44	118	250	132	0
THOROUGHBRED	06VT-45	120	192	72	0
VA92-42-46	06VT-46	118	250	132	0
VA96-44-304	06VT-47	115	153	38	0
VA03B-25	06VT-48	125	250	125	0
VA03B-44	06VT-49	124	184	60	0
VA03B-58	06VT-50	118	250	132	0
VA03B-59	06VT-51	115	155	40	0
VA03B-171	06VT-52	117	250	133	0
VA03B-176	06VT-53	120	250	130	0
VA03B-183	06VT-54	118	250	132	0
VA04B-7	06VT-55	124	198	74	0
VA04B-8	06VT-56	124	199	75	0
VA04B-29	06VT-57	115	153	38	0
VA04B-53	06VT-58	120	195	75	0
VA04B-54	06VT-59	120	198	78	0
VA04B-62	06VT-60	115	181	66	0
VA04B-83	06VT-61	120	184	64	0
VA04B-86	06VT-62	120	179	59	0
VA04B-88	06VT-63	119	198	79	0
VA04B-93	06VT-64	120	193	73	0
VA04B-95	06VT-65	120	199	79	0
VA04B-99	06VT-66	120	250	130	0
VA04B-106	06VT-67	115	152	37	0
VA04B-120	06VT-68	120	250	130	0
VA04B-125	06VT-69	120	199	79	0
VA04B-127	06VT-70	118	198	80	0
VA04B-178	06VT-71	118	181	63	0
VA04B-180	06VT-72	118	179	61	0
VA05B-14	06VT-73	115	150	35	0
VA05B-21	06VT-74	115	250	135	0
VA05B-25	06VT-75	120	250	130	0
VA05B-26	06VT-76	118	184	66	0
VA05B-43	06VT-77	115	179	64	0
VA05B-49	06VT-78	118	179	61	0
VA05B-58	06VT-79	120	199	79	0
VA05B-73	06VT-80	117	179	62	0
VA05B-74	06VT-81	115	198	83	0
VA05B-91	06VT-82	117	195	78	0
VA05B-93	06VT-83	115	191	76	0
VA05B-97	06VT-84	120	199	79	0
VA05B-104	06VT-85	117	250	133	0
VA05B-108	06VT-86	113	176	63	0
VA05B-112	06VT-87	115	179	64	0
VA05B-120	06VT-88	113	179	66	0
VA05B-121	06VT-89	115	199	84	0
VA05B-123	06VT-90	115	184	69	0
VA05B-131	06VT-91	120	195	75	0
VA05B-138	06VT-92	117	250	133	0
VA05B-141	06VT-93	117	250	133	0
VA05B-145	06VT-94	115	250	135	0
VA05B-150	06VT-95	113	184	71	0
VA05B-155	06VT-96	112	199	87	0
Mean		117.8	207.7	89.9
Standard Error		--	--	--
Number Replicates		1	1	1
Prob > F		--	--	--
