Line Name	Line Synonym	Grain Yield (kg ha -1)	Plant Height (centimeter)	Heading Date (days from planting)	Plump Grain (% by wt on 6/64” sieve )	Grain Protein (kg ha -1)	Stem Length (centimeter)	Kernel Weight (milligram)	Barley Color (&deg;asbc)	Malt Extract (percent)	Wort Color (asbc)	Wort Protein (percent)	Soluble Protein/ Total Protein (percent)	Diastatic Power (&deg;asbc)	Alpha Amylase (20&deg;du)	Malt Beta-glucan (parts per million)	Residual Beta-glucanase (percent)	Beta-glucanase Activity (u/kg malt)	Beta-glucanase Thermostability (u/kg malt)	Check
FEG153-22	07MN-01	5537	91	50.5	71	13.872502699784	83.5	27.952185462449	77	79.478980903979	1.35	5.10	39.020337483912	182	73.141628770421	356	54.417812185322	503.80636867089	274.16040348101	0
FEG153-31	07MN-02	5349	90.5	50.5	78.5	13.897954743255	85	30.088379705401	77	78.484447338932	1.33	5.26	38.678534188565	185	74.37443988367	424	51.643454777533	524.05121079794	270.63815005955	0
FEG153-52	07MN-03	4583	89	50	68.3	14.587923382705	82	27.098455458869	76	77.560052788374	1.35	5.39	38.092933622545	203	77.17843428984	442	54.808613873248	527.04025256511	288.863456985	0
FEG153-58	07MN-04	4956	88	51	63.2	15.075578282287	82	28.627144774933	78	77.049737323959	1.74	5.29	35.180367842171	194	73.137325882928	400	52.364020973513	448.76792567158	234.99293072107	0
FEG154-42	07MN-05	5550	95.5	51	93.8	14.446150698385	88.5	33.642814924135	74	78.18724785568	1.45	5.25	36.84820914172	213	68.494348794692	518	61.2248971464	418.40047160542	256.16525840047	0
FEG154-47	07MN-06	4620	91.5	51	91.4	14.459579850418	85	31.984206303056	77	77.61177188488	1.63	5.10	35.775743770631	179	65.72735854537	460	52.057379680848	401.59350393701	209.05905511811	0
FEG155-07	07MN-07	5520	91.5	51.5	48.4	15.419197873948	83	27.355855514083	79	75.698973798495	1.73	5.27	35.594915033245	243	76.441254947602	203	60.107507458628	506.10709262608	304.20835844886	0
FEG155-41	07MN-08	5618	89	50	69.7	15.498558714134	83	29.247809133957	79	76.831185739313	1.99	6.07	40.595116397852	245	92.156725357684	217	63.802712841885	553.32804127803	353.03830125025	0
FEG155-50	07MN-09	6347	89.5	50	41.8	14.647325669257	82.5	26.783762748597	80	76.623332666948	1.63	5.18	36.111922287484	238	75.019743236218	228	63.101870354088	499.64057507987	315.28254792332	0
FEG155-58	07MN-10	5204	98	50.5	65.9	16.528141320242	90	29.642509600377	80	76.457556090224	1.99	5.89	37.07055644705	249	84.969137743088	246	57.836997644023	510.85197762685	295.46144626448	0
