NOTE: The map data file must be a tab delimited file. Mandatory fields are Marker, Start_pos and Chrom. Marker should be the first column. 
Optional columns include Arm, End_pos, and Bin.  Other information about the markers such as synonyms, 
annotation, and links to other websites, must be added using the marker upload page.


Marker	Start_pos	Chrom	
3_0969	0	1H
1_1223	1.07	1H
2_0502	2.15	1H
2_0836	2.15	1H
2_1067	2.15	1H
3_0715	2.15	1H
1_0419	4.3	1H
2_0238	4.3	1H
2_1456	4.3	1H
3_1144	4.3	1H
1_0636	4.3	1H
1_1011	6.46	1H
3_0933	6.46	1H
1_0716	8.61	1H
2_1174	9.68	1H
2_1226	9.68	1H
2_0665	11.83	1H
3_1149	11.83	1H
3_0817	11.83	1H
3_0918	12.91	1H
3_0951	12.91	1H
3_0952	12.91	1H
3_0588	15.23	1H
3_0955	18.63	1H
2_0318	18.63	1H
1_0775	20.78	1H
2_0575	20.78	1H
2_0749	20.78	1H
3_0948	20.78	1H
1_0030	21.86	1H
2_0371	21.86	1H
2_0712	26.17	1H
3_0241	26.17	1H
1_0757	28.32	1H
2_0767	28.32	1H
3_1276	34.81	1H
1_0760	35.88	1H
2_1072	36.96	1H
3_1177	36.96	1H
1_0764	44.54	1H
3_0336	44.54	1H
1_0275	45.62	1H
1_0597	45.62	1H
2_0514	45.62	1H
2_1134	46.69	1H
1_0235	51.01	1H
2_1432	51.01	1H
1_0259	51.01	1H
3_0683	51.01	1H
3_1467	51.01	1H
1_0526	51.01	1H
3_0796	51.01	1H
1_0957	51.01	1H
1_1064	51.01	1H
2_0855	51.01	1H
1_1301	51.01	1H
1_0159	52.08	1H
1_0300	52.08	1H
2_0260	52.08	1H
2_0660	52.08	1H
1_0470	52.08	1H
1_1478	52.08	1H
2_1193	52.08	1H
1_0506	52.08	1H
2_1188	52.08	1H
1_1287	52.08	1H
2_0047	52.08	1H
2_0427	52.08	1H
2_0698	52.08	1H
2_0757	52.08	1H
3_0043	52.08	1H
3_0404	52.08	1H
3_0438	52.08	1H
3_1208	52.08	1H
3_0436	52.08	1H
3_0562	52.08	1H
3_0762	52.08	1H
3_1191	52.08	1H
2_1357	54.23	1H
1_1169	55.31	1H
2_0810	55.31	1H
2_1312	55.31	1H
3_0350	55.31	1H
3_1134	55.31	1H
1_1359	55.31	1H
2_1217	55.31	1H
3_0672	55.31	1H
3_0786	55.31	1H
1_0075	55.31	1H
1_0520	55.31	1H
1_0933	55.31	1H
1_1326	55.31	1H
3_0110	55.31	1H
3_0406	55.31	1H
3_0478	55.31	1H
3_0499	55.31	1H
3_0694	55.31	1H
3_0750	55.31	1H
1_0293	55.31	1H
2_0798	55.31	1H
2_1361	55.31	1H
3_0741	55.31	1H
3_0710	56.38	1H
1_0324	57.46	1H
1_0198	58.53	1H
1_1248	59.61	1H
2_1053	59.61	1H
3_0343	59.61	1H
1_0768	60.69	1H
2_0478	60.69	1H
3_0820	60.69	1H
3_0821	60.69	1H
2_1333	60.69	1H
1_0201	61.76	1H
3_1532	61.76	1H
2_0095	61.76	1H
3_0753	61.76	1H
1_0617	62.84	1H
1_1049	62.84	1H
1_0798	62.84	1H
3_0304	62.84	1H
2_1306	64.99	1H
3_1179	64.99	1H
3_1401	64.99	1H
2_0432	66.06	1H
2_0642	66.06	1H
2_1431	66.06	1H
1_0043	67.14	1H
1_0002	67.14	1H
1_0960	67.14	1H
1_1367	67.14	1H
2_0956	67.14	1H
3_1464	67.14	1H
2_1219	67.14	1H
1_0166	70.37	1H
2_0157	70.37	1H
