[Header]
GSGT Version	1.7.4
Processing Date	9/13/2010 11:59 AM
Content		GS0010598-OPA.opa
Num SNPs	1536
Total SNPs	1536
Num Samples	956
Total Samples	960
[Data]
SNP Name	Sample ID	GT Score	GC Score	Theta	R	X	Y	X Raw	Y Raw	Allele1 - AB	Allele2 - AB
12_30600	09MN-01	0.6946	0.4863	0.953	0.713	0.049	0.663	1371	6471	B	B
12_11414	09MN-01	0.5413	0.5413	0.977	0.919	0.032	0.887	1089	8558	B	B
12_20803	09MN-01	0.4941	0.4941	0.002	1.561	1.555	0.006	28633	361	A	A
12_30306	09MN-01	0.7508	0.5256	0.059	1.235	1.130	0.105	20932	1279	A	A
12_10485	09MN-01	0.5062	0.4809	0.029	0.319	0.305	0.014	5931	408	A	A
12_20436	09MN-01	0.7271	0.7271	0.977	1.047	0.037	1.010	1197	9710	B	B
12_20632	09MN-01	0.6672	0.4670	1.000	1.325	0.000	1.325	565	12647	B	B
12_10613	09MN-01	0.9045	0.8593	0.995	1.255	0.009	1.246	712	11911	B	B
12_10103	09MN-01	0.5062	0.3544	0.989	3.470	0.059	3.411	1902	32148	B	B
12_31268	09MN-01	0.8640	0.8640	0.001	1.345	1.343	0.002	24793	321	A	A
12_10392	09MN-01	0.6389	0.4473	0.992	1.099	0.014	1.085	785	10411	B	B
12_30296	09MN-01	0.7624	0.7243	0.843	1.144	0.230	0.915	4680	8823	B	B
12_20176	09MN-01	0.8268	0.7855	0.015	1.397	1.365	0.033	25181	608	A	A
12_31527	09MN-01	0.8952	0.8505	0.977	0.978	0.034	0.944	1126	9091	B	B
12_31229	09MN-01	0.8323	0.7907	0.969	1.349	0.062	1.287	1680	12299	B	B
12_31473	09MN-01	0.8919	0.8919	0.991	1.264	0.018	1.246	882	11916	B	B
12_11050	09MN-01	0.8152	0.7744	0.036	1.444	1.367	0.077	25228	1027	A	A
12_11386	09MN-01	0.8843	0.8843	0.966	1.244	0.063	1.180	1690	11302	B	B
12_20037	09MN-01	0.5397	0.5091	0.947	0.824	0.064	0.761	1643	7381	B	B
12_10836	09MN-01	0.6315	0.6315	0.976	0.884	0.033	0.852	1095	8228	B	B
12_30630	09MN-01	0.6835	0.4784	0.000	0.758	0.758	0.000	14158	266	A	A
12_21464	09MN-01	0.0000	0.0000	0.101	0.238	0.205	0.033	4116	583	-	-
12_10022	09MN-01	0.8636	0.8204	0.011	1.680	1.652	0.028	30400	572	A	A
12_30625	09MN-01	0.8674	0.7301	0.953	0.352	0.024	0.328	872	3333	B	B
12_10222	09MN-01	0.6303	0.6303	0.975	1.439	0.055	1.384	1565	13203	B	B
12_31181	09MN-01	0.7490	0.7490	0.019	0.515	0.500	0.015	9479	420	A	A
12_10032	09MN-01	0.8896	0.6227	0.000	0.692	0.692	0.000	12953	124	A	A
12_30445	09MN-01	0.8887	0.8887	0.026	1.051	1.011	0.041	18750	676	A	A
12_11104	09MN-01	0.6812	0.4769	0.123	1.036	0.867	0.169	16151	1875	A	A
12_31342	09MN-01	0.8768	0.8768	0.000	1.072	1.072	0.000	19858	107	A	A
12_30745	09MN-01	0.8004	0.7603	0.016	1.055	1.029	0.026	19084	536	A	A
12_20649	09MN-01	0.8291	0.7877	0.997	1.507	0.007	1.500	719	14286	B	B
12_31469	09MN-01	0.9030	0.9030	0.010	1.090	1.073	0.017	19887	457	A	A
12_31066	09MN-01	0.9185	0.9185	0.900	0.914	0.125	0.789	2759	7650	B	B
12_11487	09MN-01	0.8083	0.8083	0.996	0.906	0.005	0.901	597	8691	B	B
12_31187	09MN-01	0.8192	0.7782	0.070	1.367	1.231	0.136	22770	1568	A	A
12_30496	09MN-01	0.6494	0.6494	0.996	1.342	0.008	1.334	709	12736	B	B
12_31267	09MN-01	0.7177	0.7167	0.922	1.644	0.179	1.464	3841	13959	B	B
12_21208	09MN-01	0.9268	0.8804	0.966	1.079	0.055	1.024	1523	9836	B	B

