chr= 1A
marker	composite	KPxKC_2012_1A	SynOp_GBS_antmap_1A	SynOp_GBS_binmap_1A	wsnp2013_1A
IWA1376	0	0	NA	NA	NA
synopGBS114956	0	NA	NA	0	NA
synopGBS115859	0	NA	NA	0	NA
synopGBS115860	0	NA	NA	0	NA
synopGBS115861	0	NA	NA	0	NA
synopGBS121288	0	NA	NA	0	NA
synopGBS104995	0	NA	NA	0	NA
synopGBS123911	0	NA	NA	0	NA
synopGBS123912	0	NA	NA	0	NA
synopGBS128324	0	NA	NA	0	NA
synopGBS128325	0	NA	NA	0	NA
synopGBS128326	0	NA	NA	0	NA
synopGBS128327	0	NA	NA	0	NA
synopGBS107673	0	NA	NA	0	NA
synopGBS113848	0	NA	NA	0	NA
synopGBS117656	0	NA	NA	0	NA
synopGBS114952	0	NA	NA	0	NA
IWA1602	3.5	3.5	NA	NA	NA
IWA6644	3.5	3.5	NA	NA	NA
IWA3182	5.2	5.2	NA	NA	NA
IWA4240	8.7	8.7	NA	NA	NA
IWA4241	8.7	8.7	NA	NA	NA
IWA6649	9.4	9.4	NA	NA	1.08
IWA4351	9.4	9.4	NA	NA	1.08
IWA8622	9.4	NA	NA	NA	1.19
IWA6172	9.4	NA	NA	NA	19.1
IWA3563	9.4	NA	NA	NA	37.89
IWA4033	9.4	NA	NA	NA	37.89
IWA4753	9.4	NA	NA	NA	37.89
IWA7191	9.4	NA	NA	NA	37.89
IWA1479	10.39	NA	NA	NA	39.66
IWA3635	10.39	NA	NA	NA	39.66
IWA4034	10.39	NA	NA	NA	39.66
IWA4644	11.4	11.4	NA	NA	NA
IWA4754	11.4	11.4	NA	NA	40.67
IWA4506	17	NA	NA	NA	46.27
IWA7050	17	NA	NA	NA	54.5
IWA4164	17	NA	NA	NA	55
IWA4008	17	NA	NA	NA	55.51
IWA7377	17	NA	NA	NA	56.51
IWA6217	17	NA	NA	NA	58.65
IWA7796	17	NA	NA	NA	60.99
IWA3375	17	NA	NA	NA	64.19
IWA3373	17	NA	NA	NA	65.92
IWA3374	17	NA	NA	NA	65.92
IWA7151	17	NA	NA	NA	65.92
IWA6941	17	NA	NA	NA	69.39
IWA217	17	NA	NA	NA	70.43
IWA944	17	NA	NA	NA	71.02
IWA6431	17	NA	NA	NA	73.32
IWA164	18.38	NA	NA	NA	80.27
IWA1142	18.38	NA	NA	NA	80.27
IWA5339	18.38	NA	NA	NA	80.27
IWA3398	20.43	NA	NA	NA	82.32
IWA710	20.94	NA	NA	NA	82.83
IWA3399	21.44	NA	NA	NA	83.33
GWM33.1	23.2	23.2	NA	NA	NA
synopGBS1256	24.21	NA	0	0	NA
synopGBS661	24.21	NA	0	0	NA
synopGBS662	24.21	NA	0	0	NA
synopGBS114108	24.21	NA	NA	24	NA
synopGBS120905	24.21	NA	NA	24	NA
synopGBS110234	24.21	NA	NA	24	NA
synopGBS106133	24.21	NA	NA	24	NA
synopGBS106134	24.21	NA	NA	24	NA
synopGBS125624	24.21	NA	NA	24	NA
IWA2656	24.48	NA	NA	NA	86.37
IWA2921	24.48	NA	NA	NA	86.37
IWA2922	24.48	NA	NA	NA	86.37
IWA7421	24.48	NA	NA	NA	86.37
synopGBS115728	25	NA	NA	25	NA
synopGBS115729	25	NA	NA	25	NA
synopGBS115730	25	NA	NA	25	NA
synopGBS119969	25	NA	NA	25	NA
synopGBS105738	25	NA	NA	25	NA
synopGBS105883	25	NA	NA	25	NA
synopGBS110850	25	NA	NA	25	NA
synopGBS114148	25	NA	NA	25	NA
synopGBS106114	25	NA	NA	25	NA
synopGBS111124	25	NA	NA	25	NA
IWA1450	25.57	NA	NA	NA	87.46
IWA3346	25.57	NA	NA	NA	87.46
IWA5080	25.57	NA	NA	NA	87.46
IWA8307	25.57	NA	NA	NA	87.46
IWA8615	25.57	NA	NA	NA	87.46
IWA1580	25.57	NA	NA	NA	87.46
IWA3115	25.57	NA	NA	NA	87.46
IWA3347	25.57	NA	NA	NA	87.46
IWA3254	25.57	NA	NA	NA	87.46
synopGBS308	26	NA	1.79	26	NA
synopGBS774	26	NA	1.79	27	NA
synopGBS775	26	NA	1.79	27	NA
synopGBS776	26	NA	1.79	27	NA
synopGBS121830	26	NA	NA	26	NA
synopGBS123217	26	NA	NA	26	NA
synopGBS123218	26	NA	NA	26	NA
synopGBS101771	26	NA	NA	26	NA
synopGBS119403	26	NA	NA	27	NA
IWA492	26.08	NA	NA	NA	87.97
IWA1934	26.08	NA	NA	NA	87.97
IWA8255	26.08	NA	NA	NA	87.97
IWA1933	26.08	NA	NA	NA	87.97
IWA2337	26.08	NA	NA	NA	87.97
IWA3020	26.08	NA	NA	NA	87.97
IWA3689	26.08	NA	NA	NA	87.97
IWA3898	26.08	NA	NA	NA	87.97
IWA3952	26.08	NA	NA	NA	87.97
IWA4286	26.08	NA	NA	NA	87.97
IWA8294	26.08	NA	NA	NA	87.97
IWA3019	26.08	NA	NA	NA	87.97
IWA3690	26.08	NA	NA	NA	87.97
IWA4555	26.08	NA	NA	NA	87.97
IWA7439	26.08	NA	NA	NA	87.97
IWA3337	26.58	NA	NA	NA	88.47
IWA764	27.08	NA	NA	NA	88.97
IWA1811	27.08	NA	NA	NA	88.97
IWA2070	27.08	NA	NA	NA	88.97
IWA2247	27.08	NA	NA	NA	88.97
IWA3766	27.08	NA	NA	NA	88.97
IWA3875	27.08	NA	NA	NA	88.97
IWA5109	27.08	NA	NA	NA	88.97
IWA5350	27.08	NA	NA	NA	88.97
IWA5509	27.08	NA	NA	NA	88.97
IWA6260	27.08	NA	NA	NA	88.97
IWA7413	27.08	NA	NA	NA	88.97
IWA7804	27.08	NA	NA	NA	88.97
IWA8071	27.08	NA	NA	NA	88.97
IWA948	27.08	NA	NA	NA	88.97
IWA1482	27.08	NA	NA	NA	88.97
IWA2057	27.08	NA	NA	NA	88.97
IWA2456	27.08	NA	NA	NA	88.97
IWA2615	27.08	NA	NA	NA	88.97
IWA2871	27.08	NA	NA	NA	88.97
IWA2957	27.08	NA	NA	NA	88.97
IWA3147	27.08	NA	NA	NA	88.97
IWA3249	27.08	NA	NA	NA	88.97
IWA3442	27.08	NA	NA	NA	88.97
IWA3534	27.08	NA	NA	NA	88.97
IWA3612	27.08	NA	NA	NA	88.97
IWA4417	27.08	NA	NA	NA	88.97
IWA4508	27.08	NA	NA	NA	88.97
IWA4509	27.08	NA	NA	NA	88.97
IWA4510	27.08	NA	NA	NA	88.97
IWA4578	27.08	NA	NA	NA	88.97
IWA4579	27.08	NA	NA	NA	88.97
IWA4591	27.08	NA	NA	NA	88.97
IWA4769	27.08	NA	NA	NA	88.97
IWA4798	27.08	NA	NA	NA	88.97
IWA5054	27.08	NA	NA	NA	88.97
IWA5134	27.08	NA	NA	NA	88.97
IWA5135	27.08	NA	NA	NA	88.97
IWA5194	27.08	NA	NA	NA	88.97
IWA5451	27.08	NA	NA	NA	88.97
IWA6942	27.08	NA	NA	NA	88.97
IWA8230	27.08	NA	NA	NA	88.97
IWA7716	27.08	NA	NA	NA	88.97
IWA8116	27.08	NA	NA	NA	88.97
IWA1803	27.08	NA	NA	NA	88.97
IWA3740	27.08	NA	NA	NA	88.97
IWA5435	27.08	NA	NA	NA	88.97
IWA5702	27.08	NA	NA	NA	88.97
IWA8440	27.08	NA	NA	NA	88.97
IWA3073	27.08	NA	NA	NA	88.97
IWA3685	27.08	NA	NA	NA	88.97
IWA5121	27.08	NA	NA	NA	88.97
IWA2848	27.58	NA	NA	NA	89.47
IWA2289	28.09	NA	NA	NA	89.98
IWA2851	28.09	NA	NA	NA	89.98
IWA5133	28.09	NA	NA	NA	89.98
IWA5320	28.09	NA	NA	NA	89.98
IWA8035	28.59	NA	NA	NA	90.48
IWA4061	29.59	NA	NA	NA	91.48
IWA4646	29.59	NA	NA	NA	91.48
IWA4974	29.59	NA	NA	NA	91.48
IWA5300	29.59	NA	NA	NA	91.48
IWA357	31.71	NA	NA	NA	93.6
IWA3867	33.89	NA	NA	NA	95.78
IWA4649	33.89	NA	NA	NA	95.78
IWA4797	33.89	NA	NA	NA	95.78
IWA4020	35.95	NA	NA	NA	97.84
IWA4775	35.95	NA	NA	NA	97.84
IWA4071	35.95	NA	NA	NA	97.84
IWA352	36.96	NA	NA	NA	98.85
IWA8034	36.96	NA	NA	NA	98.85
IWA1358	36.96	NA	NA	NA	98.85
IWA4376	36.96	NA	NA	NA	98.85
IWA1530	36.96	NA	NA	NA	98.85
IWA2248	36.96	NA	NA	NA	98.85
IWA2850	36.96	NA	NA	NA	98.85
IWA2852	36.96	NA	NA	NA	98.85
IWA3338	36.96	NA	NA	NA	98.85
IWA3339	36.96	NA	NA	NA	98.85
IWA4466	36.96	NA	NA	NA	98.85
IWA4834	36.96	NA	NA	NA	98.85
IWA5199	36.96	NA	NA	NA	98.85
IWA5636	36.96	NA	NA	NA	98.85
IWA7385	36.96	NA	NA	NA	98.85
IWA8238	36.96	NA	NA	NA	98.85
IWA7713	36.96	NA	NA	NA	98.85
IWA4704	36.96	NA	NA	NA	98.85
IWA2655	36.96	NA	NA	NA	101.09
IWA5226	38.75	NA	NA	NA	102.88
IWA639	40.76	NA	NA	NA	104.89
synopGBS104970	41	NA	NA	42	NA
IWA392	41.26	NA	NA	NA	105.39
IWA393	41.26	NA	NA	NA	105.39
IWA1990	41.26	NA	NA	NA	105.39
IWA1991	41.26	NA	NA	NA	105.39
IWA6887	41.26	NA	NA	NA	105.39
IWA7879	41.26	NA	NA	NA	105.39
IWA5115	41.26	NA	NA	NA	105.39
IWA2438	41.26	NA	NA	NA	105.39
IWA2651	41.26	NA	NA	NA	105.39
IWA7505	41.26	NA	NA	NA	105.39
IWA8236	41.26	NA	NA	NA	105.39
IWA8394	41.26	NA	NA	NA	105.39
IWA7922	41.26	NA	NA	NA	105.39
IWA1952	41.77	NA	NA	NA	105.9
synopGBS118278	42	NA	NA	43	NA
synopGBS127306	43	NA	NA	44	NA
synopGBS107940	43	NA	NA	44	NA
synopGBS122014	44	NA	NA	45	NA
synopGBS120952	44	NA	NA	45	NA
IWA5631	44.91	NA	NA	NA	109.04
synopGBS128243	45	NA	NA	46	NA
synopGBS102276	45	NA	NA	46	NA
synopGBS102277	45	NA	NA	46	NA
synopGBS102278	45	NA	NA	46	NA
synopGBS102279	45	NA	NA	46	NA
synopGBS113645	45	NA	NA	46	NA
synopGBS113646	45	NA	NA	46	NA
synopGBS113647	45	NA	NA	46	NA
synopGBS118652	46	NA	NA	47	NA
IWA1307	47.23	NA	NA	NA	111.36
IWA2768	47.23	NA	NA	NA	111.36
IWA5310	47.23	NA	NA	NA	111.36
IWA6497	47.23	NA	NA	NA	111.36
IWA8473	47.23	NA	NA	NA	111.36
IWA4327	47.23	NA	NA	NA	116.33
synopGBS124888	48	NA	NA	49	NA
synopGBS100549	48	NA	NA	49	NA
synopGBS102418	49.69	NA	NA	52	NA
synopGBS118905	49.69	NA	NA	54	NA
synopGBS113951	49.69	NA	NA	55	NA
synopGBS116723	49.69	NA	NA	55	NA
synopGBS477	50.69	NA	26.48	56	NA
IWA1615	51.82	NA	NA	NA	120.92
IWA6835	51.82	NA	NA	NA	120.92
IWA8070	51.82	NA	NA	NA	120.92
synopGBS1031	52.2	NA	27.99	66	NA
synopGBS665	52.2	NA	27.99	65	NA
synopGBS105963	52.2	NA	NA	64	NA
synopGBS109503	52.2	NA	NA	64	NA
synopGBS115445	52.2	NA	NA	64	NA
synopGBS115446	52.2	NA	NA	64	NA
synopGBS119479	52.2	NA	NA	64	NA
synopGBS126743	52.2	NA	NA	64	NA
synopGBS126744	52.2	NA	NA	64	NA
synopGBS117565	52.2	NA	NA	64	NA
synopGBS117566	52.2	NA	NA	64	NA
synopGBS119864	52.2	NA	NA	64	NA
synopGBS121692	52.2	NA	NA	64	NA
synopGBS122447	52.2	NA	NA	64	NA
synopGBS125928	52.2	NA	NA	64	NA
synopGBS107912	52.2	NA	NA	64	NA
synopGBS107913	52.2	NA	NA	64	NA
synopGBS107914	52.2	NA	NA	64	NA
synopGBS100140	52.2	NA	NA	64	NA
synopGBS101101	52.2	NA	NA	64	NA
synopGBS112806	52.2	NA	NA	65	NA
synopGBS112807	52.2	NA	NA	65	NA
synopGBS100999	52.2	NA	NA	65	NA
synopGBS115429	52.2	NA	NA	65	NA
synopGBS115430	52.2	NA	NA	65	NA
synopGBS128677	52.2	NA	NA	65	NA
synopGBS128644	52.2	NA	NA	65	NA
synopGBS122918	52.2	NA	NA	65	NA
synopGBS103275	52.2	NA	NA	65	NA
synopGBS101494	52.2	NA	NA	65	NA
synopGBS113693	52.2	NA	NA	65	NA
BARC83	52.8	52.8	NA	NA	NA
IWA268	52.8	52.8	NA	NA	NA
IWA459	52.8	52.8	NA	NA	NA
IWA4126	52.8	52.8	NA	NA	NA
IWA5839	52.8	52.8	NA	NA	NA
synopGBS100081	53.2	NA	NA	66	NA
synopGBS121001	53.2	NA	NA	66	NA
IWA2152	53.83	NA	NA	NA	122.93
IWA7577	53.83	NA	NA	NA	125.18
IWA3891	54	54	NA	NA	NA
IWA4816	54	54	NA	NA	NA
IWA2584	54.6	54.6	NA	NA	130.65
IWA3134	54.6	NA	NA	NA	125.95
IWA7644	54.6	NA	NA	NA	127.46
IWA3613	54.6	NA	NA	NA	127.96
IWA5277	54.6	NA	NA	NA	127.96
IWA3475	54.6	NA	NA	NA	129.3
IWA3820	54.6	NA	NA	NA	129.3
IWA2598	54.6	NA	NA	NA	130.65
IWA4283	57.5	57.5	NA	NA	135.22
IWA5174	57.5	NA	NA	NA	135.22
IWA6707	58.01	NA	NA	NA	135.73
IWA6708	58.01	NA	NA	NA	135.73
synopGBS102532	58.2	NA	NA	72	NA
synopGBS102533	58.2	NA	NA	72	NA
synopGBS128645	58.2	NA	NA	72	NA
IWA163	58.6	58.6	NA	NA	NA
IWA560	58.6	58.6	NA	NA	NA
IWA7573	59.1	59.1	NA	NA	NA
IWA5169	59.1	59.1	NA	NA	138.52
IWA6553	59.1	NA	NA	NA	137.74
synopGBS107449	59.2	NA	NA	73	NA
synopGBS107496	59.2	NA	NA	73	NA
synopGBS111442	59.2	NA	NA	73	NA
IWA8101	59.6	59.6	NA	NA	NA
IWA4511	60.1	60.1	NA	NA	NA
synopGBS116611	61.2	NA	NA	75	NA
synopGBS116612	61.2	NA	NA	75	NA
synopGBS125255	61.2	NA	NA	75	NA
synopGBS117307	61.2	NA	NA	75	NA
synopGBS127812	62.2	NA	NA	76	NA
synopGBS123276	62.2	NA	NA	76	NA
synopGBS123277	62.2	NA	NA	76	NA
synopGBS125178	62.2	NA	NA	76	NA
synopGBS101389	62.2	NA	NA	76	NA
IWA2491	62.9	62.9	NA	NA	148.28
IWA6144	62.9	62.9	NA	NA	148.28
